***
bimodal-copy: Branch Prediction Accuracy | MPKI | and so on
perceptron-copy_server_016.out:          48.77, 48.77, 48.77 | 97.04, 97.04, 97.04
perceptron-copy_server_017.out:          78.16, 78.16, 78.16 | 36.72, 36.72, 36.72
perceptron-copy_server_018.out:          87.35, 87.35, 87.35 | 20.06, 20.06, 20.06
perceptron-copy_server_019.out:           81.2,  81.2,  81.2 | 29.48, 29.48, 29.48
perceptron-copy_server_020.out:          85.33, 85.33, 85.33 | 24.78, 24.78, 24.78
perceptron-copy_server_021.out:          87.46, 87.46, 87.46 | 20.12, 20.12, 20.12
perceptron-copy_server_022.out:          81.33, 81.33, 81.33 |  31.7,  31.7,  31.7
perceptron-copy_server_023.out:          47.23, 47.23, 47.23 | 97.81, 97.81, 97.81
perceptron-copy_server_024.out:          58.35, 58.35, 58.35 | 79.54, 79.54, 79.54
perceptron-copy_server_025.out:          45.69, 45.69, 45.69 | 99.92, 99.92, 99.92
perceptron-copy_server_026.out:          49.57, 49.57, 49.57 | 93.08, 93.08, 93.08
perceptron-copy_server_027.out:           43.1,  43.1,  43.1 |   105,   105,   105
perceptron-copy_server_028.out:          45.73, 45.73, 45.73 | 101.5, 101.5, 101.5
perceptron-copy_server_029.out:          44.75, 44.75, 44.75 | 103.2, 103.2, 103.2
perceptron-copy_server_030.out:          44.62, 44.62, 44.62 |   103,   103,   103
perceptron-copy_server_031.out:          43.15, 43.15, 43.15 | 105.6, 105.6, 105.6
perceptron-copy_server_032.out:          43.12, 43.12, 43.12 | 104.9, 104.9, 104.9
perceptron-copy_server_033.out:          56.81, 56.81, 56.81 | 81.83, 81.83, 81.83
perceptron-copy_server_034.out:          57.01, 57.01, 57.01 | 81.42, 81.42, 81.42
perceptron-copy_server_035.out:          58.42, 58.42, 58.42 | 78.82, 78.82, 78.82
perceptron-copy_server_036.out:          73.82, 73.82, 73.82 | 42.52, 42.52, 42.52
perceptron-copy_server_037.out:           72.7,  72.7,  72.7 | 48.68, 48.68, 48.68
perceptron-copy_server_038.out:           69.9,  69.9,  69.9 | 53.32, 53.32, 53.32
perceptron-copy_server_039.out:          66.67, 66.67, 66.67 |  55.6,  55.6,  55.6
perceptron-copy_spec_gcc_001.out:         89.4,  89.4,  89.4 |  31.5,  31.5,  31.5
perceptron-copy_spec_gcc_002.out:        71.54, 71.54, 71.54 | 67.08, 67.08, 67.08
perceptron-copy_spec_gcc_003.out:        78.48, 78.48, 78.48 | 50.36, 50.36, 50.36
perceptron-copy_spec_gobmk_001.out:      77.56, 77.56, 77.56 | 37.12, 37.12, 37.12
perceptron-copy_spec_gobmk_002.out:      75.49, 75.49, 75.49 | 43.32, 43.32, 43.32
perceptron-copy_spec_perlbench_001.out:  97.69, 97.69, 97.69 |  4.16,  4.16,  4.16
perceptron-copy_spec_x264_001.out:       82.15, 82.15, 82.15 |  6.48,  6.48,  6.48
***
***
Prediction accuracy | MPKI | IPC | ... and so on
bimodal-copy 80.34% 35.51
gshare-copy 79.97% 36.33
perceptron-copy 71.61% 51.36
***
